n;port443;familia;especie_subespecie_var;categoria
89;*;Anemiaceae;Anemia trichorhiza;VU
90;;Anisophylleaceae;Anisophyllea manausensis;VU
91;;Annonaceae;Annona angustifolia;EN
92;;Annonaceae;Annona ferruginea;CR
93;;Annonaceae;Annona gardneri;EN
94;*;Annonaceae;Annona parviflora;VU
95;;Annonaceae;Bocagea viridis;VU
96;;Annonaceae;Cymbopetalum euneurum;EN
97;;Annonaceae;Duguetia bahiensis;VU
97;;Annonaceae;Duguetia bahiensis;VU
98;;Annonaceae;Duguetia duckei;EN
99;*;Annonaceae;Duguetia magnolioidea;EN
100;;Annonaceae;Duguetia microphylla;EN
101;;Annonaceae;Duguetia pohliana;EN
102;*;Annonaceae;Duguetia restingae;CR
103;;Annonaceae;Duguetia rotundifolia;VU
104;*;Annonaceae;Duguetia scottmorii;EN
105;*;Annonaceae;Duguetia sooretamae;EN
106;;Annonaceae;Duguetia subcordata;EN
106;;Annonaceae;Duguetia subcordata;EN
107;;Annonaceae;Guatteria attenuata;CR
108;;Annonaceae;Guatteria hispida;EN
109;;Annonaceae;Guatteria latifolia;EN
110;;Annonaceae;Guatteria emarginata;EN
111;*;Annonaceae;Hornschuchia alba;CR
112;*;Annonaceae;Hornschuchia cauliflora;EN
113;;Annonaceae;Hornschuchia leptandra;EN
114;;Annonaceae;Hornschuchia lianarum;EN
115;;Annonaceae;Hornschuchia myrtillus;VU
115;;Annonaceae;Hornschuchia myrtillus;VU
116;*;Annonaceae;Hornschuchia obliqua;EN
117;;Annonaceae;Hornschuchia santosii;EN
118;;Annonaceae;Oxandra unibracteata;CR
119;;Annonaceae;Pseudoxandra bahiensis;VU
120;;Annonaceae;Pseudoxandra spiritus-sancti;EN
121;*;Annonaceae;Trigynaea axilliflora;EN
122;*;Annonaceae;Trigynaea oblongifolia;EN
122;*;Annonaceae;Trigynaea oblongifolia;EN
122;*;Annonaceae;Trigynaea oblongifolia;EN
123;;Annonaceae;Unonopsis aurantiaca;EN
124;;Annonaceae;Unonopsis bauxitae;CR
125;*;Annonaceae;Unonopsis riedeliana;EN
126;;Annonaceae;Unonopsis sanctae-teresae;CR
127;;Annonaceae;Xylopia atlantica;EN
128;;Annonaceae;Xylopia brasiliensis;VU
128;;Annonaceae;Xylopia brasiliensis;VU
128;;Annonaceae;Xylopia brasiliensis;VU
128;;Annonaceae;Xylopia brasiliensis;VU
128;;Annonaceae;Xylopia brasiliensis;VU
129;;Annonaceae;Xylopia decorticans;EN
130;;Annonaceae;Xylopia involucrata;VU
131;;Annonaceae;Xylopia trichostemon;VU
132;*;Apiaceae;Eryngium corallinum;CR
132;*;Apiaceae;Eryngium corallinum;CR
133;*;Apiaceae;Eryngium divaricatum;EN
134;*;Apiaceae;Eryngium dorae;CR
135;*;Apiaceae;Eryngium falcifolium;EN
135;*;Apiaceae;Eryngium falcifolium;EN
136;;Apiaceae;Eryngium fluminense;VU
137;*;Apiaceae;Eryngium koehneanum;VU
137;*;Apiaceae;Eryngium koehneanum;VU
137;*;Apiaceae;Eryngium koehneanum;VU
137;*;Apiaceae;Eryngium koehneanum;VU
137;*;Apiaceae;Eryngium koehneanum;VU
138;*;Apiaceae;Eryngium ombrophilum;EN
139;*;Apiaceae;Eryngium ramboanum;CR
140;*;Apiaceae;Eryngium scirpinum;EN
140;*;Apiaceae;Eryngium scirpinum;EN
140;*;Apiaceae;Eryngium scirpinum;EN
141;*;Apiaceae;Eryngiumsmithii;EN
142;*;Apiaceae;Eryngium urbanianum;EN
143;*;Apiaceae;Eryngiumzosterifolium;VU
144;*;Apiaceae;Klotzschia rhizophylla;EN
145;*;Apiaceae;Lilaeopsis brasiliensis;VU
145;*;Apiaceae;Lilaeopsis brasiliensis;VU
145;*;Apiaceae;Lilaeopsis brasiliensis;VU
145;*;Apiaceae;Lilaeopsis brasiliensis;VU
145;*;Apiaceae;Lilaeopsis brasiliensis;VU
146;;Apocynaceae;Aspidosperma auriculatum;EN
147;;Apocynaceae;Aspidosperma castroanum;EN
148;;Apocynaceae;Aspidosperma confertiflorum;EN
149;;Apocynaceae;Aspidosperma formosanum;EN
150;;Apocynaceae;Aspidosperma huberianum;EN
151;;Apocynaceae;Aspidosperma nigricans;EN
151;;Apocynaceae;Aspidosperma nigricans;EN
151;;Apocynaceae;Aspidosperma nigricans;EN
151;;Apocynaceae;Aspidosperma nigricans;EN
152;;Apocynaceae;Aspidosperma obscurinervium;EN
153;;Apocynaceae;Aspidosperma occidentale;EN
153;;Apocynaceae;Aspidosperma occidentale;EN
154;;Apocynaceae;Aspidosperma oliganthum;EN
154;;Apocynaceae;Aspidosperma oliganthum;EN
155;;Apocynaceae;Aspidosperma parvifolium;EN
155;;Apocynaceae;Aspidosperma parvifolium;EN
155;;Apocynaceae;Aspidosperma parvifolium;EN
155;;Apocynaceae;Aspidosperma parvifolium;EN
156;;Apocynaceae;Aspidosperma rizzoanum;EN
157;;Apocynaceae;Aspidosperma salgadense;EN
158;;Apocynaceae;Aspidosperma thomasii;EN
159;*;Apocynaceae;Ditassaauriflora;CR
160;*;Apocynaceae;Ditassa cipoensis;EN
161;*;Apocynaceae;Ditassa cordeiroana;EN
162;*;Apocynaceae;Ditassa itambensis;EN
163;*;Apocynaceae;Ditassa laevis;EN
164;*;Apocynaceae;Ditassa leonii;VU
165;*;Apocynaceae;Ditassa longisepala;EN
166;*;Apocynaceae;Ditassa maricaensis;EN
167;*;Apocynaceae;Ditassa melantha;EN
168;*;Apocynaceae;Ditassa oberdanii;EN
169;*;Apocynaceae;Gonolobus dorothyanus;EN
170;*;Apocynaceae;Gyrostelma bornmuelleri;EN
170;*;Apocynaceae;Gyrostelma bornmuelleri;EN
171;*;Apocynaceae;Gyrostelma oxypetaloides;EN
171;*;Apocynaceae;Gyrostelma oxypetaloides;EN
171;*;Apocynaceae;Gyrostelma oxypetaloides;EN
172;*;Apocynaceae;Hemipogon abietoides;CR
173;*;Apocynaceae;Hemipogon hatschbachii;CR
174;*;Apocynaceae;Jobinia hatschbachii;EN
175;;Apocynaceae;Lacmellea bahiensis;EN
176;;Apocynaceae;Lacmellea pauciflora;EN
176;;Apocynaceae;Lacmellea pauciflora;EN
177;*;Apocynaceae;Macroditassa marianae;CR
178;;Apocynaceae;Malouetia amazonica;EN
179;;Apocynaceae;Malouetia gracillima;EN
180;;Apocynaceae;Malouetia lata;EN
181;;Apocynaceae;Mandevilla crassinoda;EN
182;*;Apocynaceae;Marsdenia otoniensis;CR
183;*;Apocynaceae;Marsdenia queirozii;EN
184;*;Apocynaceae;Matelea bahiensis;EN
185;*;Apocynaceae;Matelea glaziovii;VU
186;*;Apocynaceae;Matelea hatschbachii;EN
187;*;Apocynaceae;Matelea marcoassisii;VU
188;*;Apocynaceae;Metastelma giuliettianum;EN
189;*;Apocynaceae;Metastelma harleyi;EN
190;*;Apocynaceae;Minaria bifurcata;CR
191;*;Apocynaceae;Minaria diamantinensis;CR
192;*;Apocynaceae;Minaria grazielae;EN
193;*;Apocynaceae;Minaria harleyi;EN
194;*;Apocynaceae;Minaria hemipogonoides;CR
195;*;Apocynaceae;Minaria magisteriana;EN
196;*;Apocynaceae;Minaria monocoronata;CR
197;*;Apocynaceae;Minaria polygaloides;EN
198;*;Apocynaceae;Minaria refractifolia;VU
199;*;Apocynaceae;Minaria semirii;EN
200;*;Apocynaceae;Minaria volubilis;EN
201;*;Apocynaceae;Monsanima morrenioides;CR
202;;Apocynaceae;Monsanima tinguaensis;VU
203;*;Apocynaceae;Morilloa furlanii;EN
204;*;Apocynaceae;Morilloa piranii;CR
205;;Apocynaceae;Mucoa duckei;EN
206;;Apocynaceae;Orthosia arenosa;EN
207;*;Apocynaceae;Oxypetalumcordifolium subsp. mexiae;CR
208;;Apocynaceae;Oxypetalum costae;CR
209;*;Apocynaceae;Oxypetalum dusenii;EN
210;*;Apocynaceae;Oxypetalum ekblomii;EN
211;*;Apocynaceae;Oxypetalum glaziovii;EN
212;*;Apocynaceae;Oxypetalum leonii;EN
213;;Apocynaceae;Oxypetalum schottii;EN
214;;Apocynaceae;Parahancornia krukovii;EN
215;*;Apocynaceae;Prestonia solanifolia;EN
216;;Apocynaceae;Rauvolfia capixabae;EN
217;;Apocynaceae;Spongiosperma longilobum;EN
218;*;Apocynaceae;Tabernaemontana cumata;EN
219;;Aptandraceae;Cathedra paraensis;EN
219;;Aptandraceae;Cathedra paraensis;EN
220;*;Aquifoliaceae;Ilex auricula;EN
221;;Aquifoliaceae;Ilex diuretica;VU
222;;Aquifoliaceae;Ilex euryaeformis;EN
223;*;Aquifoliaceae;Ilex loranthoides;VU
223;*;Aquifoliaceae;Ilex loranthoides;VU
224;*;Aquifoliaceae;Ilex prostrata;CR
225;;Aquifoliaceae;Ilex sapiiformis;CR (PEX)
226;;Aquifoliaceae;Ilex schwackeana;VU
227;;Araceae;Anthurium augustinum;EN
228;;Araceae;Anthurium binotii;EN
229;;Araceae;Anthurium bragae;EN
230;;Araceae;Anthurium cronembergerae;EN
231;*;Araceae;Anthurium jureianum;VU
232;*;Araceae;Anthurium langsdorffii;EN
233;;Araceae;Anthurium laucheanum;EN
234;;Araceae;Anthurium lhotzkyanum;VU
235;*;Araceae;Anthurium lucidum;CR
236;*;Araceae;Anthurium luschnathianum;EN
237;*;Araceae;Anthurium radicans;VU
238;;Araceae;Anthurium sakuraguianum;CR
239;;Araceae;Anthurium simonii;EN
240;*;Araceae;Anthurium xanthophylloides;VU
241;*;Araceae;Heteropsis flexuosa;VU
242;;Araceae;Philodendron alternans;EN
243;*;Araceae;Philodendron fragile;EN
244;;Araceae;Philodendron luisae;CR
245;;Araceae;Philodendron nadruzianum;EN
246;*;Araceae;Philodendron spiritus-sancti;EN
247;;Araliaceae;Aralia bahiana;EN
248;;Araliaceae;Dendropanax amorimii;EN
249;;Araliaceae;Dendropanax denticulatus;EN
250;;Araliaceae;Dendropanax geniculatus;CR
251;;Araliaceae;Dendropanax heterophyllus;CR
252;;Araliaceae;Dendropanax langsdorfii;VU
253;;Araliaceae;Dendropanax nebulosus;EN
254;;Araliaceae;Dendropanax trilobus;CR
255;*;Araliaceae;Didymopanax acuminatus;EN
256;*;Araliaceae;Didymopanax auratus;EN
257;;Araliaceae;Didymopanax capixabus;CR
258;*;Araliaceae;Didymopanax gardneri;EN
259;*;Araliaceae;Didymopanax glaziovii;EN
260;;Araliaceae;Didymopanax grandigemmus;CR
261;;Araliaceae;Didymopanax kollmannii;EN
262;;Araliaceae;Didymopanax plurifolius;VU
262;;Araliaceae;Didymopanax plurifolius;VU
262;;Araliaceae;Didymopanax plurifolius;VU
263;;Araliaceae;Didymopanax racemiferus;CR
264;;Araliaceae;Didymopanax ruschianus;CR
265;;Araliaceae;Didymopanax villosissimus;EN
266;;Araliaceae;Hydrocotyle bradei;CR
266;;Araliaceae;Hydrocotyle bradei;CR
267;*;Araliaceae;Hydrocotyle langsdorffii;EN
268;;Araliaceae;Hydrocotyle ulei;EN
269;*;Araliaceae;Sciodaphyllumsprucei;EN
270;*;Araucariaceae;Araucaria angustifolia;EN
270;*;Araucariaceae;Araucaria angustifolia;EN
270;*;Araucariaceae;Araucaria angustifolia;EN
270;*;Araucariaceae;Araucaria angustifolia;EN
270;*;Araucariaceae;Araucaria angustifolia;EN
270;*;Araucariaceae;Araucaria angustifolia;EN
271;*;Arecaceae;Acrocomia emensis;VU
272;*;Arecaceae;Allagoptera brevicalyx;VU
272;*;Arecaceae;Allagoptera brevicalyx;VU
273;*;Arecaceae;Attalea barreirensis;VU
273;*;Arecaceae;Attalea barreirensis;VU
273;*;Arecaceae;Attalea barreirensis;VU
273;*;Arecaceae;Attalea barreirensis;VU
274;*;Arecaceae;Bactris timbuiensis;EN
275;*;Arecaceae;Butia capitata;VU
276;*;Arecaceae;Butia eriospatha;VU
277;;Arecaceae;Butia exilata;CR
278;*;Arecaceae;Butia leptospatha;CR
279;*;Arecaceae;Butia microspadix;VU
280;*;Arecaceae;Butia purpurascens;EN
280;*;Arecaceae;Butia purpurascens;EN
281;*;Arecaceae;Butia yatay;VU
282;*;Arecaceae;Euterpe edulis;VU
283;*;Arecaceae;Syagrus glaucescens;VU
284;*;Arecaceae;Syagrusmacrocarpa;EN
285;*;Arecaceae;Syagrus mendanhensis;CR
286;*;Arecaceae;Syagruspicrophylla;VU
287;*;Arecaceae;Syagrus ruschiana;VU
288;;Arecaceae;Syagrus weddelliana;EN
288;;Arecaceae;Syagrus weddelliana;EN
289;;Arecaceae;Trithrinax acanthocoma;VU
289;;Arecaceae;Trithrinax acanthocoma;VU
289;;Arecaceae;Trithrinax acanthocoma;VU
290;*;Aristolochiaceae;Aristolochiahypoglauca;EN
291;*;Aristolochiaceae;Aristolochia odora;VU
292;;Aristolochiaceae;Aristolochia raja;EN
293;*;Arnelliaceae;Gongylanthus liebmannianus;EN
294;*;Arnelliaceae;Southbya organensis;CR
295;*;Aspleniaceae;Asplenium beckeri;CR
296;*;Aspleniaceae;Asplenium bradeanum;EN
297;;Aspleniaceae;Asplenium cariocanum;EN
298;*;Aspleniaceae;Asplenium castaneum;EN
299;*;Aspleniaceae;Asplenium schwackei;CR
300;*;Aspleniaceae;Asplenium trindadense;CR
301;*;Asteraceae;Achyrocline eriodes;VU
302;*;Asteraceae;Acmella pusilla;EN
303;;Asteraceae;Acritopappus buiquensis;CR
304;*;Asteraceae;Acritopappus catolesensis;EN
305;*;Asteraceae;Acritopappus connatifolius;EN
306;;Asteraceae;Acritopappusharleyi;CR
307;*;Asteraceae;Acritopappus irwinii;VU
308;;Asteraceae;Acritopappuspereirae;CR
309;*;Asteraceae;Acritopappus pintoi;EN
310;;Asteraceae;Acritopappusprunifolius;VU
311;;Asteraceae;Acritopappus subtomentosus;CR
312;;Asteraceae;Acritopappus teixeirae;VU
313;*;Asteraceae;Agrianthusalmasensis;EN
314;*;Asteraceae;Agrianthusgiuliettiae;EN
315;*;Asteraceae;Aldama corumbensis;EN
316;*;Asteraceae;Aldama filifolia;EN
317;*;Asteraceae;Aldama goyazii;VU
318;*;Asteraceae;Aldama linearifolia;CR
319;*;Asteraceae;Aldamaparanensis;CR
320;*;Asteraceae;Aldama vernonioides;EN
321;*;Asteraceae;Anteremanthus hatschbachii;EN
322;;Asteraceae;Anteremanthus piranii;EN
322;;Asteraceae;Anteremanthus piranii;EN
323;*;Asteraceae;Aspiliaalmasensis;VU
324;*;Asteraceae;Aspilia belo-horizontinae;CR
325;*;Asteraceae;Aspilia caudata;EN
326;*;Asteraceae;Aspilia cordifolia;EN
327;*;Asteraceae;Aspilia cylindrocephala;VU
328;*;Asteraceae;Aspilia diamantinae;EN
329;*;Asteraceae;Aspilia diffusiflora;VU
330;*;Asteraceae;Aspilia diniz-cruzeanae;CR
331;*;Asteraceae;Aspilia eglerii;CR
332;*;Asteraceae;Aspilia espinhacensis;EN
333;*;Asteraceae;Aspilia grazielae;EN
334;*;Asteraceae;Aspilia jugata;CR
335;*;Asteraceae;Aspilia ovatifolia;CR
336;*;Asteraceae;Aspilia pereirae;EN
337;*;Asteraceae;Aspilia prostrata;EN
338;*;Asteraceae;Aspilia reticulata;VU
339;*;Asteraceae;Aspilia silphioides;EN
340;;Asteraceae;Austrocritonia rosea;EN
341;;Asteraceae;Austrocritonia taunayana;EN
342;*;Asteraceae;Austroeupatorium rosmarinaceum;VU
343;*;Asteraceae;Baccharisaracatubensis;EN
344;;Asteraceae;Baccharis bifrons;EN
345;;Asteraceae;Baccharis ciliata;CR
346;*;Asteraceae;Baccharis concinna;VU
347;*;Asteraceae;Baccharis elliptica;EN
348;;Asteraceae;Baccharis friburgensis;EN
349;*;Asteraceae;Baccharishypericifolia;EN
350;*;Asteraceae;Baccharis lychnophora;VU
351;*;Asteraceae;Baccharispenningtonii;VU
352;*;Asteraceae;Baccharispolyphylla;VU
353;*;Asteraceae;Baccharispseudoalpestris;VU
354;;Asteraceae;Baccharis pseudovaccinioides;CR
355;*;Asteraceae;Caatinganthus rubropappus;EN
356;*;Asteraceae;Caleaabbreviata;CR
357;*;Asteraceae;Calea acaulis;VU
358;*;Asteraceae;Calea brittoniana;CR
359;*;Asteraceae;Calea gentianoides;VU
359;*;Asteraceae;Calea gentianoides;VU
359;*;Asteraceae;Calea gentianoides;VU
360;*;Asteraceae;Calea heteropappa;EN
361;*;Asteraceae;Calea kristiniae;EN
362;;Asteraceae;Calea wedelioides;EN
363;*;Asteraceae;Campuloclinium parvulum;VU
364;*;Asteraceae;Catolesiamentiens;CR
365;*;Asteraceae;Chaptaliachapadensis;CR
366;*;Asteraceae;Chaptaliacordifolia;VU
367;*;Asteraceae;Chaptaliahermogenis;CR
368;*;Asteraceae;Chionolaena lychnophorioides;VU
369;*;Asteraceae;Chresta souzae;EN
370;*;Asteraceae;Chromolaena arrayana;EN
370;*;Asteraceae;Chromolaena arrayana;EN
370;*;Asteraceae;Chromolaena arrayana;EN
371;*;Asteraceae;Chromolaena costatipes;EN
372;*;Asteraceae;Chromolaena rhinanthacea;EN
373;*;Asteraceae;Chronopappus bifrons;EN
374;*;Asteraceae;Chrysolaenanicolackii;VU
375;*;Asteraceae;Cololobus longiangustatus;EN
376;*;Asteraceae;Cololobus rupestris;EN
376;*;Asteraceae;Cololobus rupestris;EN
376;*;Asteraceae;Cololobus rupestris;EN
377;;Asteraceae;Dasyphyllum cryptocephalum;EN
378;;Asteraceae;Dasyphyllum leptacanthum;EN
379;*;Asteraceae;Dendrophorbium catharinense;VU
380;*;Asteraceae;Dendrophorbium paranense;EN
381;*;Asteraceae;Dimerostemma annuum;EN
382;*;Asteraceae;Dimerostemma episcopale;EN
383;*;Asteraceae;Dimerostemma grazielae;VU
384;*;Asteraceae;Dimerostemma myrtifolium;EN
385;*;Asteraceae;Disynaphiaericoides;EN
386;*;Asteraceae;Disynaphia praeficta;EN
387;*;Asteraceae;Disynaphia variolata;EN
387;*;Asteraceae;Disynaphia variolata;EN
387;*;Asteraceae;Disynaphia variolata;EN
388;*;Asteraceae;Echinocoryne echinocephala;EN
389;;Asteraceae;Eremanthusarboreus;CR
390;*;Asteraceae;Eremanthus argenteus;EN
391;;Asteraceae;Eremanthus auriculatus;VU
391;;Asteraceae;Eremanthus auriculatus;VU
392;;Asteraceae;Eremanthusbrevifolius;CR
393;;Asteraceae;Eremanthus ovatifolius;CR
394;;Asteraceae;Eremanthus praetermissus;VU
395;*;Asteraceae;Eremanthusreticulatus;EN
396;*;Asteraceae;Eremanthussyncephalus;EN
397;;Asteraceae;Eremanthus veadeiroensis;EN
398;;Asteraceae;Fulcaldea stuessyi;CR
399;;Asteraceae;Graphistylis cuneifolia;CR
400;*;Asteraceae;Heterocoma albida;CR
401;;Asteraceae;Heterocomaekmaniana;EN
402;;Asteraceae;Heterocomaerecta;EN
403;;Asteraceae;Heterocomalanuginosa;EN
404;*;Asteraceae;Heterocondylus lysimachioides;VU
405;*;Asteraceae;Hoehnephytum almasense;EN
406;*;Asteraceae;Holocheilushieracioides;EN
407;*;Asteraceae;Holocheilus monocephalus;EN
408;;Asteraceae;Hololepis hatschbachii;CR
408;;Asteraceae;Hololepis hatschbachii;CR
409;*;Asteraceae;Hysterionica pinnatiloba;EN
409;*;Asteraceae;Hysterionica pinnatiloba;EN
410;*;Asteraceae;Hysterionica pinnatisecta;CR
411;*;Asteraceae;Ianthopappus corymbosus;CR
412;*;Asteraceae;Ichthyothere elliptica;EN
413;*;Asteraceae;Lepidaploa almasensis;CR
414;;Asteraceae;Lepidaploa araujoa;CR
415;*;Asteraceae;Lepidaploa gnaphalioides;EN
416;;Asteraceae;Lepidaploa obtusifolia;EN
417;;Asteraceae;Lepidaploa persicifolia;VU
418;*;Asteraceae;Lepidaploa pseudaurea;EN
419;*;Asteraceae;Lepidaploa spixiana;EN
420;*;Asteraceae;Leptostelma catharinense;EN
421;*;Asteraceae;Lessingianthus adenophyllus;EN
422;*;Asteraceae;Lessingianthus asteriflorus;EN
423;*;Asteraceae;Lessingianthus constrictus;CR
424;*;Asteraceae;Lessingianthuseitenii;EN
425;*;Asteraceae;Lessingianthusexiguus;VU
426;;Asteraceae;Lessingianthus glaziovianus;EN
427;*;Asteraceae;Lessingianthusirwinii;VU
428;*;Asteraceae;Lessingianthuspumillus;VU
429;*;Asteraceae;Lessingianthusreitzianus;VU
430;*;Asteraceae;Lessingianthus rosmarinifolius;EN
431;*;Asteraceae;Lessingianthussouzae;EN
432;*;Asteraceae;Lessingianthusstoechas;VU
433;*;Asteraceae;Lessingianthus subcarduoides;EN
434;*;Asteraceae;Lessingianthus venosissimus;EN
435;*;Asteraceae;Lessingianthus westermanii;EN
436;*;Asteraceae;Lessingianthus zuccarinianus;VU
437;*;Asteraceae;Lomatozona artemisiifolia;EN
438;*;Asteraceae;Lulia nervosa;EN
439;*;Asteraceae;Lychnocephalus humillimus;CR
440;*;Asteraceae;Lychnocephalus mellobarretoi;EN
441;*;Asteraceae;Lychnocephalussellovii;EN
442;*;Asteraceae;Lychnocephalus tomentosus;VU
443;*;Asteraceae;Lychnophora albertinioides;CR
444;*;Asteraceae;Lychnophorabrunioides;CR
445;*;Asteraceae;Lychnophora candelabrum;VU
446;*;Asteraceae;Lychnophora crispa;EN
446;*;Asteraceae;Lychnophora crispa;EN
447;*;Asteraceae;Lychnophora damazioi;EN
448;*;Asteraceae;Lychnophora diamantinana;EN
449;*;Asteraceae;Lychnophora gardneri;VU
450;*;Asteraceae;Lychnophora hatschbachii;EN
451;*;Asteraceae;Lychnophora martiana;EN
452;*;Asteraceae;Lychnophora pohlii;VU
453;*;Asteraceae;Lychnophora ramosissima;VU
454;*;Asteraceae;Lychnophora rosmarinifolia;VU
455;;Asteraceae;Lychnophora rupestris;EN
456;*;Asteraceae;Lychnophorasouzae;CR
457;;Asteraceae;Lychnophorastaavioides;EN
458;*;Asteraceae;Lychnophoravillosissima;VU
459;*;Asteraceae;Lychnophorella leucodendron;EN
460;*;Asteraceae;Lychnophorella regis;EN
461;*;Asteraceae;Lychnophorella santosii;EN
462;*;Asteraceae;Lychnophorella sericea;CR
463;;Asteraceae;Macropodina bradei;EN
464;;Asteraceae;Maschalostachys markgrafii;EN
465;;Asteraceae;Maschalostachys mellosilvae;EN
466;*;Asteraceae;Mikania additicia;EN
466;*;Asteraceae;Mikania additicia;EN
466;*;Asteraceae;Mikania additicia;EN
467;*;Asteraceae;Mikania alvimii;EN
468;*;Asteraceae;Mikaniaanethifolia;EN
469;*;Asteraceae;Mikaniaargyreiae;VU
470;;Asteraceae;Mikania cabrerae;EN
471;;Asteraceae;Mikania campos-portoana;EN
