"n";"port443";"familia";"especie_subespecie_var";"categoria"
79;"";"Anacardiaceae";"Astroniumpumilum";"VU"
80;"";"Anacardiaceae";"Campnosperma gummiferum";"EN"
81;"*";"Anacardiaceae";"Schinopsisbalansae";"EN"
85;"";"Anacardiaceae";"Thyrsodiumbolivianum";"EN"
86;"*";"Anemiaceae";"Anemiablechnoides";"VU"
87;"*";"Anemiaceae";"Anemia dentata";"VU"
88;"*";"Anemiaceae";"Anemia gardneri";"VU"
89;"*";"Anemiaceae";"Anemia trichorhiza";"VU"
90;"";"Anisophylleaceae";"Anisophyllea manausensis";"VU"
91;"";"Annonaceae";"Annonaangustifolia";"EN"
92;"";"Annonaceae";"Annonaferruginea";"CR"
93;"";"Annonaceae";"Annona gardneri";"EN"
94;"*";"Annonaceae";"Annonaparviflora";"VU"
95;"";"Annonaceae";"Bocagea viridis";"VU"
96;"";"Annonaceae";"Cymbopetalum euneurum";"EN"
97;"";"Annonaceae";"Duguetiabahiensis";"VU"
98;"";"Annonaceae";"Duguetiaduckei";"EN"
99;"*";"Annonaceae";"Duguetiamagnolioidea";"EN"
100;"";"Annonaceae";"Duguetiamicrophylla";"EN"
101;"";"Annonaceae";"Duguetiapohliana";"EN"
102;"*";"Annonaceae";"Duguetia restingae";"CR"
103;"";"Annonaceae";"Duguetiarotundifolia";"VU"
104;"*";"Annonaceae";"Duguetiascottmorii";"EN"
105;"*";"Annonaceae";"Duguetiasooretamae";"EN"
106;"";"Annonaceae";"Duguetiasubcordata";"EN"
107;"";"Annonaceae";"Guatteriaattenuata";"CR"
108;"";"Annonaceae";"Guatteria hispida";"EN"
109;"";"Annonaceae";"Guatterialatifolia";"EN"
110;"";"Annonaceae";"Guatteriastenocarpa";"EN"
111;"*";"Annonaceae";"Hornschuchiaalba";"CR"
112;"*";"Annonaceae";"Hornschuchiacauliflora";"EN"
113;"";"Annonaceae";"Hornschuchialeptandra";"EN"
114;"";"Annonaceae";"Hornschuchialianarum";"EN"
115;"";"Annonaceae";"Hornschuchiamyrtillus";"VU"
116;"*";"Annonaceae";"Hornschuchiaobliqua";"EN"
117;"";"Annonaceae";"Hornschuchiasantosii";"EN"
118;"";"Annonaceae";"Oxandraunibracteata";"CR"
119;"";"Annonaceae";"Pseudoxandrabahiensis";"VU"
120;"";"Annonaceae";"Pseudoxandra spiritus-sancti";"EN"
121;"*";"Annonaceae";"Trigynaeaaxilliflora";"EN"
122;"*";"Annonaceae";"Trigynaeaoblongifolia";"EN"
123;"";"Annonaceae";"Unonopsisaurantiaca";"EN"
124;"";"Annonaceae";"Unonopsisbauxitae";"CR"
125;"*";"Annonaceae";"Unonopsis riedeliana";"EN"
126;"";"Annonaceae";"Unonopsis sanctae-teresae";"CR"
127;"";"Annonaceae";"Xylopiaatlantica";"EN"
128;"";"Annonaceae";"Xylopiabrasiliensis";"VU"
129;"";"Annonaceae";"Xylopiadecorticans";"EN"
130;"";"Annonaceae";"Xylopiainvolucrata";"VU"
131;"";"Annonaceae";"Xylopiatrichostemon";"VU"
132;"*";"Apiaceae";"Eryngiumcorallinum";"CR"
133;"*";"Apiaceae";"Eryngiumdivaricatum";"EN"
134;"*";"Apiaceae";"Eryngiumdorae";"CR"
135;"*";"Apiaceae";"Eryngiumfalcifolium";"EN"
136;"";"Apiaceae";"Eryngiumfluminense";"VU"
137;"*";"Apiaceae";"Eryngiumkoehneanum";"VU"
138;"*";"Apiaceae";"Eryngiumombrophilum";"EN"
139;"*";"Apiaceae";"Eryngiumramboanum";"CR"
140;"*";"Apiaceae";"Eryngiumscirpinum";"EN"
141;"*";"Apiaceae";"Eryngiumsmithii";"EN"
142;"*";"Apiaceae";"Eryngiumurbanianum";"EN"
143;"*";"Apiaceae";"Eryngiumzosterifolium";"VU"
144;"*";"Apiaceae";"Klotzschia rhizophylla";"EN"
145;"*";"Apiaceae";"Lilaeopsisbrasiliensis";"VU"
146;"";"Apocynaceae";"Aspidosperma auriculatum";"EN"
147;"";"Apocynaceae";"Aspidosperma castroanum";"EN"
148;"";"Apocynaceae";"Aspidosperma confertiflorum";"EN"
149;"";"Apocynaceae";"Aspidosperma formosanum";"EN"
150;"";"Apocynaceae";"Aspidosperma huberianum";"EN"
151;"";"Apocynaceae";"Aspidospermanigricans";"EN"
152;"";"Apocynaceae";"Aspidosperma obscurinervium";"EN"
153;"";"Apocynaceae";"Aspidospermaoccidentale";"EN"
154;"";"Apocynaceae";"Aspidospermaoliganthum";"EN"
155;"";"Apocynaceae";"Aspidospermaparvifolium";"EN"
156;"";"Apocynaceae";"Aspidosperma rizzoanum";"EN"
157;"";"Apocynaceae";"Aspidospermasalgadense";"EN"
158;"";"Apocynaceae";"Aspidosperma thomasii";"EN"
159;"*";"Apocynaceae";"Ditassaauriflora";"CR"
160;"*";"Apocynaceae";"Ditassa cipoensis";"EN"
161;"*";"Apocynaceae";"Ditassa cordeiroana";"EN"
162;"*";"Apocynaceae";"Ditassaitambensis";"EN"
163;"*";"Apocynaceae";"Ditassa laevis";"EN"
164;"*";"Apocynaceae";"Ditassa leonii";"VU"
165;"*";"Apocynaceae";"Ditassalongisepala";"EN"
166;"*";"Apocynaceae";"Ditassa maricaensis";"EN"
167;"*";"Apocynaceae";"Ditassa melantha";"EN"
168;"*";"Apocynaceae";"Ditassaoberdanii";"EN"
169;"*";"Apocynaceae";"Gonolobusdorothyanus";"EN"
170;"*";"Apocynaceae";"Gyrostelmabornmuelleri";"EN"
171;"*";"Apocynaceae";"Gyrostelmaoxypetaloides";"EN"
172;"*";"Apocynaceae";"Hemipogonabietoides";"CR"
173;"*";"Apocynaceae";"Hemipogonhatschbachii";"CR"
174;"*";"Apocynaceae";"Jobiniahatschbachii";"EN"
175;"";"Apocynaceae";"Lacmelleabahiensis";"EN"
176;"";"Apocynaceae";"Lacmelleapauciflora";"EN"
177;"*";"Apocynaceae";"Macroditassa marianae";"CR"
178;"";"Apocynaceae";"Malouetiaamazonica";"EN"
179;"";"Apocynaceae";"Malouetiagracillima";"EN"
180;"";"Apocynaceae";"Malouetia lata";"EN"
181;"";"Apocynaceae";"Mandevilla crassinoda";"EN"
182;"*";"Apocynaceae";"Marsdeniaotoniensis";"CR"
183;"*";"Apocynaceae";"Marsdeniaqueirozii";"EN"
184;"*";"Apocynaceae";"Mateleabahiensis";"EN"
185;"*";"Apocynaceae";"Mateleaglaziovii";"VU"
186;"*";"Apocynaceae";"Mateleahatschbachii";"EN"
187;"*";"Apocynaceae";"Matelea marcoassisii";"VU"
188;"*";"Apocynaceae";"Metastelmagiuliettianum";"EN"
189;"*";"Apocynaceae";"Metastelmaharleyi";"EN"
190;"*";"Apocynaceae";"Minariabifurcata";"CR"
191;"*";"Apocynaceae";"Minariadiamantinensis";"CR"
192;"*";"Apocynaceae";"Minariagrazielae";"EN"
193;"*";"Apocynaceae";"Minaria harleyi";"EN"
194;"*";"Apocynaceae";"Minariahemipogonoides";"CR"
195;"*";"Apocynaceae";"Minaria magisteriana";"EN"
196;"*";"Apocynaceae";"Minaria monocoronata";"CR"
197;"*";"Apocynaceae";"Minariapolygaloides";"EN"
198;"*";"Apocynaceae";"Minaria refractifolia";"VU"
199;"*";"Apocynaceae";"Minaria semirii";"EN"
200;"*";"Apocynaceae";"Minaria volubilis";"EN"
201;"*";"Apocynaceae";"Monsanima morrenioides";"CR"
202;"";"Apocynaceae";"Monsanima tinguaensis";"VU"
203;"*";"Apocynaceae";"Morilloa furlanii";"EN"
204;"*";"Apocynaceae";"Morilloa piranii";"CR"
205;"";"Apocynaceae";"Mucoa duckei";"EN"
206;"";"Apocynaceae";"Orthosiaarenosa";"EN"
207;"*";"Apocynaceae";"Oxypetalumcordifolium subsp. mexiae";"CR"
208;"";"Apocynaceae";"Oxypetalumcostae";"CR"
209;"*";"Apocynaceae";"Oxypetalumdusenii";"EN"
210;"*";"Apocynaceae";"Oxypetalumekblomii";"EN"
211;"*";"Apocynaceae";"Oxypetalumglaziovii";"EN"
212;"*";"Apocynaceae";"Oxypetalumleonii";"EN"
213;"";"Apocynaceae";"Oxypetalumschottii";"EN"
214;"";"Apocynaceae";"Parahancornia krukovii";"EN"
215;"*";"Apocynaceae";"Prestoniasolanifolia";"EN"
216;"";"Apocynaceae";"Rauvolfia capixabae";"EN"
217;"";"Apocynaceae";"Spongiosperma longilobum";"EN"
218;"*";"Apocynaceae";"Tabernaemontana cumata";"EN"
219;"";"Aptandraceae";"Cathedraparaensis";"EN"
220;"*";"Aquifoliaceae";"Ilex auricula";"EN"
221;"";"Aquifoliaceae";"Ilex diuretica";"VU"
222;"";"Aquifoliaceae";"Ilex euryaeformis";"EN"
223;"*";"Aquifoliaceae";"Ilexloranthoides";"VU"
224;"*";"Aquifoliaceae";"Ilex prostrata";"CR"
225;"";"Aquifoliaceae";"Ilexsapiiformis";"CR (PEX)"
226;"";"Aquifoliaceae";"Ilexschwackeana";"VU"
227;"";"Araceae";"Anthuriumaugustinum";"EN"
228;"";"Araceae";"Anthurium binotii";"EN"
229;"";"Araceae";"Anthurium bragae";"EN"
230;"";"Araceae";"Anthurium cronembergerae";"EN"
231;"*";"Araceae";"Anthuriumjureianum";"VU"
232;"*";"Araceae";"Anthuriumlangsdorffii";"EN"
233;"";"Araceae";"Anthuriumlaucheanum";"EN"
234;"";"Araceae";"Anthuriumlhotzkyanum";"VU"
235;"*";"Araceae";"Anthurium lucidum";"CR"
236;"*";"Araceae";"Anthurium luschnathianum";"EN"
237;"*";"Araceae";"Anthurium radicans";"VU"
238;"";"Araceae";"Anthurium sakuraguianum";"CR"
239;"";"Araceae";"Anthurium simonii";"EN"
240;"*";"Araceae";"Anthurium xanthophylloides";"VU"
241;"*";"Araceae";"Heteropsisflexuosa";"VU"
242;"";"Araceae";"Philodendronalternans";"EN"
243;"*";"Araceae";"Philodendronfragile";"EN"
244;"";"Araceae";"Philodendron luisae";"CR"
245;"";"Araceae";"Philodendron nadruzianum";"EN"
246;"*";"Araceae";"Philodendron spiritus-sancti";"EN"
247;"";"Araliaceae";"Aralia bahiana";"EN"
248;"";"Araliaceae";"Dendropanaxamorimii";"EN"
249;"";"Araliaceae";"Dendropanax denticulatus";"EN"
250;"";"Araliaceae";"Dendropanax geniculatus";"CR"
251;"";"Araliaceae";"Dendropanax heterophyllus";"CR"
252;"";"Araliaceae";"Dendropanaxlangsdorfii";"VU"
253;"";"Araliaceae";"Dendropanaxnebulosus";"EN"
254;"";"Araliaceae";"Dendropanaxtrilobus";"CR"
255;"*";"Araliaceae";"Didymopanax acuminatus";"EN"
256;"*";"Araliaceae";"Didymopanaxauratus";"EN"
257;"";"Araliaceae";"Didymopanaxcapixabus";"CR"
258;"*";"Araliaceae";"Didymopanaxgardneri";"EN"
259;"*";"Araliaceae";"Didymopanaxglaziovii";"EN"
260;"";"Araliaceae";"Didymopanax grandigemmus";"CR"
261;"";"Araliaceae";"Didymopanaxkollmannii";"EN"
262;"";"Araliaceae";"Didymopanaxplurifolius";"VU"
263;"";"Araliaceae";"Didymopanax racemiferus";"CR"
264;"";"Araliaceae";"Didymopanaxruschianus";"CR"
265;"";"Araliaceae";"Didymopanax villosissimus";"EN"
266;"";"Araliaceae";"Hydrocotylebradei";"CR"
267;"*";"Araliaceae";"Hydrocotylelangsdorffii";"EN"
268;"";"Araliaceae";"Hydrocotyleulei";"EN"
269;"*";"Araliaceae";"Sciodaphyllumsprucei";"EN"
270;"*";"Araucariaceae";"Araucariaangustifolia";"EN"
271;"*";"Arecaceae";"Acrocomia emensis";"VU"
272;"*";"Arecaceae";"Allagopterabrevicalyx";"VU"
273;"*";"Arecaceae";"Attaleabarreirensis";"VU"
274;"*";"Arecaceae";"Bactris timbuiensis";"EN"
275;"*";"Arecaceae";"Butia capitata";"VU"
276;"*";"Arecaceae";"Butia eriospatha";"VU"
277;"";"Arecaceae";"Butia exilata";"CR"
278;"*";"Arecaceae";"Butialeptospatha";"CR"
279;"*";"Arecaceae";"Butia microspadix";"VU"
280;"*";"Arecaceae";"Butiapurpurascens";"EN"
281;"*";"Arecaceae";"Butia yatay";"VU"
282;"*";"Arecaceae";"Euterpe edulis";"VU"
283;"*";"Arecaceae";"Syagrusglaucescens";"VU"
284;"*";"Arecaceae";"Syagrusmacrocarpa";"EN"
285;"*";"Arecaceae";"Syagrusmendanhensis";"CR"
286;"*";"Arecaceae";"Syagruspicrophylla";"VU"
287;"*";"Arecaceae";"Syagrus ruschiana";"VU"
288;"";"Arecaceae";"Syagrusweddelliana";"EN"
289;"";"Arecaceae";"Trithrinaxacanthocoma";"VU"
290;"*";"Aristolochiaceae";"Aristolochiahypoglauca";"EN"
291;"*";"Aristolochiaceae";"Aristolochia odora";"VU"
292;"";"Aristolochiaceae";"Aristolochia raja";"EN"
293;"*";"Arnelliaceae";"Gongylanthus liebmannianus";"EN"
294;"*";"Arnelliaceae";"Southbyaorganensis";"CR"
295;"*";"Aspleniaceae";"Asplenium beckeri";"CR"
296;"*";"Aspleniaceae";"Aspleniumbradeanum";"EN"
297;"";"Aspleniaceae";"Asplenium cariocanum";"EN"
298;"*";"Aspleniaceae";"Asplenium castaneum";"EN"
299;"*";"Aspleniaceae";"Aspleniumschwackei";"CR"
300;"*";"Aspleniaceae";"Asplenium trindadense";"CR"
301;"*";"Asteraceae";"Achyrocline eriodes";"VU"
302;"*";"Asteraceae";"Acmella pusilla";"EN"
303;"";"Asteraceae";"Acritopappusbuiquensis";"CR"
304;"*";"Asteraceae";"Acritopappus catolesensis";"EN"
305;"*";"Asteraceae";"Acritopappus connatifolius";"EN"
306;"";"Asteraceae";"Acritopappusharleyi";"CR"
307;"*";"Asteraceae";"Acritopappusirwinii";"VU"
308;"";"Asteraceae";"Acritopappuspereirae";"CR"
309;"*";"Asteraceae";"Acritopappus pintoi";"EN"
310;"";"Asteraceae";"Acritopappusprunifolius";"VU"
311;"";"Asteraceae";"Acritopappus subtomentosus";"CR"
312;"";"Asteraceae";"Acritopappus teixeirae";"VU"
313;"*";"Asteraceae";"Agrianthusalmasensis";"EN"
314;"*";"Asteraceae";"Agrianthusgiuliettiae";"EN"
315;"*";"Asteraceae";"Aldama corumbensis";"EN"
316;"*";"Asteraceae";"Aldama filifolia";"EN"
317;"*";"Asteraceae";"Aldama goyazii";"VU"
318;"*";"Asteraceae";"Aldamalinearifolia";"CR"
319;"*";"Asteraceae";"Aldamaparanensis";"CR"
320;"*";"Asteraceae";"Aldama vernonioides";"EN"
321;"*";"Asteraceae";"Anteremanthus hatschbachii";"EN"
322;"";"Asteraceae";"Anteremanthuspiranii";"EN"
323;"*";"Asteraceae";"Aspiliaalmasensis";"VU"
324;"*";"Asteraceae";"Aspiliabelo-horizontinae";"CR"
325;"*";"Asteraceae";"Aspilia caudata";"EN"
326;"*";"Asteraceae";"Aspilia cordifolia";"EN"
327;"*";"Asteraceae";"Aspilia cylindrocephala";"VU"
328;"*";"Asteraceae";"Aspiliadiamantinae";"EN"
329;"*";"Asteraceae";"Aspiliadiffusiflora";"VU"
330;"*";"Asteraceae";"Aspiliadiniz-cruzeanae";"CR"
331;"*";"Asteraceae";"Aspilia eglerii";"CR"
332;"*";"Asteraceae";"Aspilia espinhacensis";"EN"
333;"*";"Asteraceae";"Aspilia grazielae";"EN"
334;"*";"Asteraceae";"Aspilia jugata";"CR"
335;"*";"Asteraceae";"Aspiliaovatifolia";"CR"
336;"*";"Asteraceae";"Aspilia pereirae";"EN"
337;"*";"Asteraceae";"Aspilia prostrata";"EN"
338;"*";"Asteraceae";"Aspilia reticulata";"VU"
339;"*";"Asteraceae";"Aspiliasilphioides";"EN"
340;"";"Asteraceae";"Austrocritonia rosea";"EN"
341;"";"Asteraceae";"Austrocritonia taunayana";"EN"
342;"*";"Asteraceae";"Austroeupatorium rosmarinaceum";"VU"
343;"*";"Asteraceae";"Baccharisaracatubensis";"EN"
344;"";"Asteraceae";"Baccharis bifrons";"EN"
345;"";"Asteraceae";"Baccharis ciliata";"CR"
346;"*";"Asteraceae";"Baccharis concinna";"VU"
347;"*";"Asteraceae";"Baccharis elliptica";"EN"
348;"";"Asteraceae";"Baccharisfriburgensis";"EN"
349;"*";"Asteraceae";"Baccharishypericifolia";"EN"
350;"*";"Asteraceae";"Baccharislychnophora";"VU"
351;"*";"Asteraceae";"Baccharispenningtonii";"VU"
352;"*";"Asteraceae";"Baccharispolyphylla";"VU"
353;"*";"Asteraceae";"Baccharispseudoalpestris";"VU"
354;"";"Asteraceae";"Baccharis pseudovaccinioides";"CR"
355;"*";"Asteraceae";"Caatinganthus rubropappus";"EN"
356;"*";"Asteraceae";"Caleaabbreviata";"CR"
357;"*";"Asteraceae";"Calea acaulis";"VU"
358;"*";"Asteraceae";"Caleabrittoniana";"CR"
359;"*";"Asteraceae";"Caleagentianoides";"VU"
360;"*";"Asteraceae";"Caleaheteropappa";"EN"
361;"*";"Asteraceae";"Calea kristiniae";"EN"
362;"";"Asteraceae";"Calea wedelioides";"EN"
363;"*";"Asteraceae";"Campuloclinium parvulum";"VU"
364;"*";"Asteraceae";"Catolesiamentiens";"CR"
365;"*";"Asteraceae";"Chaptaliachapadensis";"CR"
366;"*";"Asteraceae";"Chaptaliacordifolia";"VU"
367;"*";"Asteraceae";"Chaptaliahermogenis";"CR"
368;"*";"Asteraceae";"Chionolaena lychnophorioides";"VU"
369;"*";"Asteraceae";"Chrestasouzae";"EN"
370;"*";"Asteraceae";"Chromolaenaarrayana";"EN"
371;"*";"Asteraceae";"Chromolaenacostatipes";"EN"
372;"*";"Asteraceae";"Chromolaena rhinanthacea";"EN"
373;"*";"Asteraceae";"Chronopappusbifrons";"EN"
374;"*";"Asteraceae";"Chrysolaenanicolackii";"VU"
375;"*";"Asteraceae";"Cololobus longiangustatus";"EN"
376;"*";"Asteraceae";"Cololobusrupestris";"EN"
377;"";"Asteraceae";"Dasyphyllum cryptocephalum";"EN"
378;"";"Asteraceae";"Dasyphyllum leptacanthum";"EN"
379;"*";"Asteraceae";"Dendrophorbium catharinense";"VU"
380;"*";"Asteraceae";"Dendrophorbium paranense";"EN"
381;"*";"Asteraceae";"Dimerostemmaannuum";"EN"
382;"*";"Asteraceae";"Dimerostemma episcopale";"EN"
383;"*";"Asteraceae";"Dimerostemmagrazielae";"VU"
384;"*";"Asteraceae";"Dimerostemma myrtifolium";"EN"
385;"*";"Asteraceae";"Disynaphiaericoides";"EN"
386;"*";"Asteraceae";"Disynaphiapraeficta";"EN"
387;"*";"Asteraceae";"Disynaphiavariolata";"EN"
388;"*";"Asteraceae";"Echinocoryne echinocephala";"EN"
389;"";"Asteraceae";"Eremanthusarboreus";"CR"
390;"*";"Asteraceae";"Eremanthusargenteus";"EN"
391;"";"Asteraceae";"Eremanthusauriculatus";"VU"
392;"";"Asteraceae";"Eremanthusbrevifolius";"CR"
393;"";"Asteraceae";"Eremanthusovatifolius";"CR"
394;"";"Asteraceae";"Eremanthus praetermissus";"VU"
395;"*";"Asteraceae";"Eremanthusreticulatus";"EN"
396;"*";"Asteraceae";"Eremanthussyncephalus";"EN"
397;"";"Asteraceae";"Eremanthus veadeiroensis";"EN"
398;"";"Asteraceae";"Fulcaldeastuessyi";"CR"
399;"";"Asteraceae";"Graphistylis cuneifolia";"CR"
400;"*";"Asteraceae";"Heterocomaalbida";"CR"
401;"";"Asteraceae";"Heterocomaekmaniana";"EN"
402;"";"Asteraceae";"Heterocomaerecta";"EN"
403;"";"Asteraceae";"Heterocomalanuginosa";"EN"
404;"*";"Asteraceae";"Heterocondylus lysimachioides";"VU"
405;"*";"Asteraceae";"Hoehnephytum almasense";"EN"
406;"*";"Asteraceae";"Holocheilushieracioides";"EN"
407;"*";"Asteraceae";"Holocheilus monocephalus";"EN"
408;"";"Asteraceae";"Hololepishatschbachii";"CR"
409;"*";"Asteraceae";"Hysterionicapinnatiloba";"EN"
410;"*";"Asteraceae";"Hysterionica pinnatisecta";"CR"
411;"*";"Asteraceae";"Ianthopappus corymbosus";"CR"
412;"*";"Asteraceae";"Ichthyothere elliptica";"EN"
413;"*";"Asteraceae";"Lepidaploaalmasensis";"CR"
414;"";"Asteraceae";"Lepidaploaaraujoa";"CR"
415;"*";"Asteraceae";"Lepidaploa gnaphalioides";"EN"
416;"";"Asteraceae";"Lepidaploaobtusifolia";"EN"
417;"";"Asteraceae";"Lepidaploapersicifolia";"VU"
418;"*";"Asteraceae";"Lepidaploapseudaurea";"EN"
419;"*";"Asteraceae";"Lepidaploaspixiana";"EN"
420;"*";"Asteraceae";"Leptostelma catharinense";"EN"
421;"*";"Asteraceae";"Lessingianthus adenophyllus";"EN"
422;"*";"Asteraceae";"Lessingianthus asteriflorus";"EN"
423;"*";"Asteraceae";"Lessingianthus constrictus";"CR"
424;"*";"Asteraceae";"Lessingianthuseitenii";"EN"
425;"*";"Asteraceae";"Lessingianthusexiguus";"VU"
426;"";"Asteraceae";"Lessingianthus glaziovianus";"EN"
427;"*";"Asteraceae";"Lessingianthusirwinii";"VU"
428;"*";"Asteraceae";"Lessingianthuspumillus";"VU"
429;"*";"Asteraceae";"Lessingianthusreitzianus";"VU"
430;"*";"Asteraceae";"Lessingianthus rosmarinifolius";"EN"
431;"*";"Asteraceae";"Lessingianthussouzae";"EN"
432;"*";"Asteraceae";"Lessingianthusstoechas";"VU"
433;"*";"Asteraceae";"Lessingianthus subcarduoides";"EN"
434;"*";"Asteraceae";"Lessingianthus venosissimus";"EN"
435;"*";"Asteraceae";"Lessingianthus westermanii";"EN"
436;"*";"Asteraceae";"Lessingianthus zuccarinianus";"VU"
437;"*";"Asteraceae";"Lomatozona artemisiifolia";"EN"
438;"*";"Asteraceae";"Lulia nervosa";"EN"
439;"*";"Asteraceae";"Lychnocephalus humillimus";"CR"
440;"*";"Asteraceae";"Lychnocephalus mellobarretoi";"EN"
441;"*";"Asteraceae";"Lychnocephalussellovii";"EN"
442;"*";"Asteraceae";"Lychnocephalus tomentosus";"VU"
443;"*";"Asteraceae";"Lychnophora albertinioides";"CR"
444;"*";"Asteraceae";"Lychnophorabrunioides";"CR"
445;"*";"Asteraceae";"Lychnophora candelabrum";"VU"
446;"*";"Asteraceae";"Lychnophoracrispa";"EN"
447;"*";"Asteraceae";"Lychnophoradamazioi";"EN"
448;"*";"Asteraceae";"Lychnophora diamantinana";"EN"
449;"*";"Asteraceae";"Lychnophoragardneri";"VU"
450;"*";"Asteraceae";"Lychnophora hatschbachii";"EN"
451;"*";"Asteraceae";"Lychnophoramartiana";"EN"
452;"*";"Asteraceae";"Lychnophorapohlii";"VU"
453;"*";"Asteraceae";"Lychnophora ramosissima";"VU"
